, ,Number of genomes,gene_class
0,Cluster 0,3,unique
1,Cluster 1,1,unique
2,Cluster 2,1,unique
3,Cluster 3,4,unique
4,Cluster 4,1,unique
5,Cluster 5,1,unique
6,Cluster 6,646,accessory
7,Cluster 7,1,unique
8,Cluster 8,2,unique
9,Cluster 9,826,accessory
10,Cluster 10,2,unique
11,Cluster 11,639,accessory
12,Cluster 12,1260,accessory
13,Cluster 13,26,unique
14,Cluster 14,4,unique
15,Cluster 15,47,unique
16,Cluster 16,31,unique
17,Cluster 17,644,accessory
18,Cluster 18,2,unique
19,Cluster 19,1,unique
20,Cluster 20,1,unique
21,Cluster 21,4,unique
22,Cluster 22,1,unique
23,Cluster 23,1,unique
24,Cluster 24,8,unique
25,Cluster 25,43,unique
26,Cluster 26,2,unique
27,Cluster 27,1,unique
28,Cluster 28,3,unique
29,Cluster 29,1,unique
30,Cluster 30,1,unique
31,Cluster 31,1462,accessory
32,Cluster 32,34,unique
33,Cluster 33,2,unique
34,Cluster 34,4,unique
35,Cluster 35,25,unique
36,Cluster 36,1,unique
37,Cluster 37,438,accessory
38,Cluster 38,15,unique
39,Cluster 39,1,unique
40,Cluster 40,1574,core
41,Cluster 41,9,unique
42,Cluster 42,1,unique
43,Cluster 43,3,unique
44,Cluster 44,170,accessory
45,Cluster 45,17,unique
46,Cluster 46,6,unique
47,Cluster 47,16,unique
48,Cluster 48,7,unique
49,Cluster 49,1,unique
50,Cluster 50,1,unique
51,Cluster 51,1,unique
52,Cluster 52,5,unique
53,Cluster 53,4,unique
54,Cluster 54,25,unique
55,Cluster 55,1,unique
56,Cluster 56,1,unique
57,Cluster 57,1,unique
58,Cluster 58,2,unique
59,Cluster 59,1,unique
60,Cluster 60,1,unique
61,Cluster 61,21,unique
62,Cluster 62,3,unique
63,Cluster 63,6,unique
64,Cluster 64,522,accessory
65,Cluster 65,2,unique
66,Cluster 66,2,unique
67,Cluster 67,1584,core
68,Cluster 68,2,unique
69,Cluster 69,1,unique
70,Cluster 70,4,unique
71,Cluster 71,9,unique
72,Cluster 72,1,unique
73,Cluster 73,4,unique
74,Cluster 74,6,unique
75,Cluster 75,4,unique
76,Cluster 76,4,unique
77,Cluster 77,58,unique
78,Cluster 78,6,unique
79,Cluster 79,81,unique
80,Cluster 80,17,unique
81,Cluster 81,1,unique
82,Cluster 82,181,accessory
83,Cluster 83,54,unique
84,Cluster 84,10,unique
85,Cluster 85,1,unique
86,Cluster 86,2,unique
87,Cluster 87,3,unique
88,Cluster 88,1509,accessory
89,Cluster 89,2,unique
90,Cluster 90,3,unique
91,Cluster 91,26,unique
92,Cluster 92,37,unique
93,Cluster 93,3,unique
94,Cluster 94,1,unique
95,Cluster 95,1,unique
96,Cluster 96,5,unique
97,Cluster 97,1,unique
98,Cluster 98,1,unique
99,Cluster 99,1490,accessory
100,Cluster 100,1524,accessory
101,Cluster 101,2,unique
102,Cluster 102,763,accessory
103,Cluster 103,1583,core
104,Cluster 104,16,unique
105,Cluster 105,414,accessory
106,Cluster 106,1562,core
107,Cluster 107,1577,core
108,Cluster 108,5,unique
109,Cluster 109,1,unique
110,Cluster 110,6,unique
111,Cluster 111,1,unique
112,Cluster 112,61,unique
113,Cluster 113,54,unique
114,Cluster 114,3,unique
115,Cluster 115,1,unique
116,Cluster 116,19,unique
117,Cluster 117,7,unique
118,Cluster 118,4,unique
119,Cluster 119,2,unique
120,Cluster 120,68,unique
121,Cluster 121,30,unique
122,Cluster 122,107,accessory
123,Cluster 123,2,unique
124,Cluster 124,1,unique
125,Cluster 125,15,unique
126,Cluster 126,5,unique
127,Cluster 127,4,unique
128,Cluster 128,17,unique
129,Cluster 129,6,unique
130,Cluster 130,14,unique
131,Cluster 131,1094,accessory
132,Cluster 132,2,unique
133,Cluster 133,3,unique
134,Cluster 134,12,unique
135,Cluster 135,103,accessory
136,Cluster 136,15,unique
137,Cluster 137,1,unique
138,Cluster 138,2,unique
139,Cluster 139,107,accessory
140,Cluster 140,3,unique
141,Cluster 141,1496,accessory
142,Cluster 142,13,unique
143,Cluster 143,19,unique
144,Cluster 144,167,accessory
145,Cluster 145,28,unique
146,Cluster 146,1,unique
147,Cluster 147,1,unique
148,Cluster 148,1,unique
149,Cluster 149,2,unique
150,Cluster 150,1,unique
151,Cluster 151,111,accessory
152,Cluster 152,2,unique
153,Cluster 153,34,unique
154,Cluster 154,6,unique
155,Cluster 155,15,unique
156,Cluster 156,1573,core
157,Cluster 157,9,unique
158,Cluster 158,21,unique
159,Cluster 159,2,unique
160,Cluster 160,1,unique
161,Cluster 161,3,unique
162,Cluster 162,1,unique
163,Cluster 163,6,unique
164,Cluster 164,4,unique
165,Cluster 165,2,unique
166,Cluster 166,17,unique
167,Cluster 167,2,unique
168,Cluster 168,1,unique
169,Cluster 169,1575,core
170,Cluster 170,1580,core
171,Cluster 171,1,unique
172,Cluster 172,2,unique
173,Cluster 173,1,unique
174,Cluster 174,5,unique
175,Cluster 175,1,unique
176,Cluster 176,1,unique
177,Cluster 177,4,unique
178,Cluster 178,5,unique
179,Cluster 179,1,unique
180,Cluster 180,4,unique
181,Cluster 181,736,accessory
182,Cluster 182,8,unique
183,Cluster 183,604,accessory
184,Cluster 184,6,unique
185,Cluster 185,8,unique
186,Cluster 186,1576,core
187,Cluster 187,9,unique
188,Cluster 188,86,unique
189,Cluster 189,224,accessory
190,Cluster 190,62,unique
191,Cluster 191,21,unique
192,Cluster 192,7,unique
193,Cluster 193,1445,accessory
194,Cluster 194,2,unique
195,Cluster 195,2,unique
196,Cluster 196,2,unique
197,Cluster 197,31,unique
198,Cluster 198,1,unique
199,Cluster 199,3,unique
200,Cluster 200,3,unique
201,Cluster 201,11,unique
202,Cluster 202,51,unique
203,Cluster 203,1,unique
204,Cluster 204,7,unique
205,Cluster 205,5,unique
206,Cluster 206,1579,core
207,Cluster 207,1,unique
208,Cluster 208,1391,accessory
209,Cluster 209,8,unique
210,Cluster 210,2,unique
211,Cluster 211,1569,core
212,Cluster 212,24,unique
213,Cluster 213,1475,accessory
214,Cluster 214,27,unique
215,Cluster 215,12,unique
216,Cluster 216,1,unique
217,Cluster 217,2,unique
218,Cluster 218,3,unique
219,Cluster 219,4,unique
220,Cluster 220,69,unique
221,Cluster 221,1,unique
222,Cluster 222,5,unique
223,Cluster 223,1,unique
224,Cluster 224,318,accessory
225,Cluster 225,1346,accessory
226,Cluster 226,2,unique
227,Cluster 227,1,unique
228,Cluster 228,1,unique
229,Cluster 229,1563,core
230,Cluster 230,1,unique
231,Cluster 231,1,unique
232,Cluster 232,1,unique
233,Cluster 233,35,unique
234,Cluster 234,22,unique
235,Cluster 235,7,unique
236,Cluster 236,1,unique
237,Cluster 237,5,unique
238,Cluster 238,1583,core
239,Cluster 239,2,unique
240,Cluster 240,1,unique
241,Cluster 241,4,unique
242,Cluster 242,1,unique
243,Cluster 243,4,unique
244,Cluster 244,1,unique
245,Cluster 245,1575,core
246,Cluster 246,2,unique
247,Cluster 247,234,accessory
248,Cluster 248,12,unique
249,Cluster 249,591,accessory
250,Cluster 250,13,unique
251,Cluster 251,13,unique
252,Cluster 252,1,unique
253,Cluster 253,4,unique
254,Cluster 254,503,accessory
255,Cluster 255,2,unique
256,Cluster 256,1,unique
257,Cluster 257,13,unique
258,Cluster 258,21,unique
259,Cluster 259,3,unique
260,Cluster 260,1,unique
261,Cluster 261,1584,core
262,Cluster 262,40,unique
263,Cluster 263,2,unique
264,Cluster 264,1,unique
265,Cluster 265,163,accessory
266,Cluster 266,41,unique
267,Cluster 267,3,unique
268,Cluster 268,18,unique
269,Cluster 269,494,accessory
270,Cluster 270,8,unique
271,Cluster 271,3,unique
272,Cluster 272,1,unique
273,Cluster 273,5,unique
274,Cluster 274,10,unique
275,Cluster 275,1,unique
276,Cluster 276,1587,core
277,Cluster 277,58,unique
278,Cluster 278,2,unique
279,Cluster 279,1,unique
280,Cluster 280,2,unique
281,Cluster 281,7,unique
282,Cluster 282,16,unique
283,Cluster 283,2,unique
284,Cluster 284,24,unique
285,Cluster 285,4,unique
286,Cluster 286,10,unique
287,Cluster 287,17,unique
288,Cluster 288,1,unique
289,Cluster 289,3,unique
290,Cluster 290,1,unique
291,Cluster 291,8,unique
292,Cluster 292,3,unique
293,Cluster 293,19,unique
294,Cluster 294,4,unique
295,Cluster 295,33,unique
296,Cluster 296,1,unique
297,Cluster 297,2,unique
298,Cluster 298,52,unique
299,Cluster 299,1,unique
300,Cluster 300,1581,core
301,Cluster 301,4,unique
302,Cluster 302,1,unique
303,Cluster 303,1570,core
304,Cluster 304,76,unique
305,Cluster 305,2,unique
306,Cluster 306,54,unique
307,Cluster 307,2,unique
308,Cluster 308,1009,accessory
309,Cluster 309,8,unique
310,Cluster 310,1580,core
311,Cluster 311,1,unique
312,Cluster 312,1,unique
313,Cluster 313,1,unique
314,Cluster 314,4,unique
315,Cluster 315,5,unique
316,Cluster 316,3,unique
317,Cluster 317,11,unique
318,Cluster 318,1,unique
319,Cluster 319,1584,core
320,Cluster 320,2,unique
321,Cluster 321,1,unique
322,Cluster 322,2,unique
323,Cluster 323,2,unique
324,Cluster 324,1,unique
325,Cluster 325,51,unique
326,Cluster 326,1,unique
327,Cluster 327,20,unique
328,Cluster 328,1,unique
329,Cluster 329,6,unique
330,Cluster 330,480,accessory
331,Cluster 331,1,unique
332,Cluster 332,1,unique
333,Cluster 333,2,unique
334,Cluster 334,1,unique
335,Cluster 335,5,unique
336,Cluster 336,2,unique
337,Cluster 337,1585,core
338,Cluster 338,16,unique
339,Cluster 339,11,unique
